group,status,lca_node,member_count,extra_nodes,missing_nodes,subgroups,extra_count,missing_count,polytomy_details
GCA-2687795,monophyletic,internal_23,2,,,,0,0,
GCA-2688265,monophyletic,internal_20,5,,,,0,0,
GCA-2688775,monophyletic,internal_26,43,,,,0,0,
GCA-2688965,monophyletic,internal_13,2,,,,0,0,
GCA-2726865,monophyletic,internal_25,5,,,,0,0,
GCA-965745,monophyletic,internal_30,4,,,,0,0,
GLR112,monophyletic,internal_13,4,,,,0,0,
GLR71,monophyletic,internal_11,8,,,,0,0,
GW2011-AR1,monophyletic,internal_33,23,,,,0,0,
GW2011-AR11,monophyletic,internal_25,2,,,,0,0,
GW2011-AR13,monophyletic,internal_32,2,,,,0,0,
GW2011-AR15,monophyletic,internal_26,6,,,,0,0,
GW2011-AR18,monophyletic,internal_21,4,,,,0,0,
GW2011-AR20,monophyletic,internal_17,6,,,,0,0,
GW2011-AR5,monophyletic,internal_19,11,,,,0,0,
Gagatemarchaeum,monophyletic,internal_26,23,,,,0,0,
Geocrenenecus,monophyletic,internal_19,8,,,,0,0,
Geoglobus,monophyletic,internal_19,10,,,,0,0,
Geothermarchaeum,monophyletic,internal_19,2,,,,0,0,
HEL-GB-B,monophyletic,internal_17,2,,,,0,0,
HK02M2,monophyletic,internal_23,3,,,,0,0,
HKST03,monophyletic,internal_35,7,,,,0,0,
HRBIN01,monophyletic,internal_19,2,,,,0,0,
HRBIN02,monophyletic,internal_19,8,,,,0,0,
Hadarchaeum,monophyletic,internal_16,8,,,,0,0,
Haiyanarchaeum,monophyletic,internal_10,2,,,,0,0,
Haladaptatiplasma,monophyletic,internal_26,5,,,,0,0,
Haladaptatus,monophyletic,internal_21,13,,,,0,0,
Halalkaliarchaeum,monophyletic,internal_25,3,,,,0,0,
Halalkalicoccus,monophyletic,internal_21,10,,,,0,0,
Halalkalirubrum,monophyletic,internal_27,2,,,,0,0,
Halanaeroarchaeum,monophyletic,internal_24,5,,,,0,0,
Halapricum,monophyletic,internal_27,9,,,,0,0,
Halarchaeoplasma,monophyletic,internal_26,5,,,,0,0,
Halarchaeum,monophyletic,internal_26,7,,,,0,0,
Halegenticoccus,monophyletic,internal_26,2,,,,0,0,
Haloarchaeobius,monophyletic,internal_23,12,,,,0,0,
Haloarcula,monophyletic,internal_28,42,,,,0,0,
Halobacterium,monophyletic,internal_24,18,,,,0,0,
Halobaculum,monophyletic,internal_28,14,,,,0,0,
Halocatena,monophyletic,internal_25,6,,,,0,0,
Halococcoides,monophyletic,internal_26,2,,,,0,0,
Halococcus,monophyletic,internal_24,13,,,,0,0,
Halodesulfurarchaeum,monophyletic,internal_24,12,,,,0,0,
Haloferax,monophyletic,internal_27,22,,,,0,0,
Halogeometricum,monophyletic,internal_29,6,,,,0,0,
Haloglomus,monophyletic,internal_27,6,,,,0,0,
Halogranum,monophyletic,internal_27,3,,,,0,0,
Halohasta,monophyletic,internal_28,6,,,,0,0,
Halolamina,monophyletic,internal_25,13,,,,0,0,
Halomarina,monophyletic,internal_24,9,,,,0,0,
Halomicrobium,monophyletic,internal_28,9,,,,0,0,
Halomicrococcus,monophyletic,internal_21,2,,,,0,0,
Halomontanus,monophyletic,internal_28,2,,,,0,0,
Halonotius,monophyletic,internal_27,6,,,,0,0,
Haloparvum,monophyletic,internal_29,2,,,,0,0,
Halopelagius,monophyletic,internal_28,3,,,,0,0,
Halopenitus,monophyletic,internal_27,5,,,,0,0,
Halopiger,monophyletic,internal_35,2,,,,0,0,
Haloplanus,monophyletic,internal_25,16,,,,0,0,
Haloprofundus,monophyletic,internal_25,5,,,,0,0,
Haloquadratum,monophyletic,internal_29,25,,,,0,0,
Halorarius,monophyletic,internal_28,2,,,,0,0,
Halorarum,monophyletic,internal_27,3,,,,0,0,
Halorhabdus,monophyletic,internal_27,7,,,,0,0,
Halorientalis,monophyletic,internal_24,13,,,,0,0,
Halorubellus,monophyletic,internal_23,4,,,,0,0,
Halorubrum,monophyletic,internal_28,74,,,,0,0,
Halorussus,monophyletic,internal_20,20,,,,0,0,
Halorutilus,monophyletic,internal_15,5,,,,0,0,
Halosegnis,monophyletic,internal_28,9,,,,0,0,
Halosimplex,monophyletic,internal_29,13,,,,0,0,
Halosolutus,monophyletic,internal_33,3,,,,0,0,
Halostagnicola,monophyletic,internal_29,5,,,,0,0,
Halostella,monophyletic,internal_21,5,,,,0,0,
Haloterrigena,monophyletic,internal_36,6,,,,0,0,
Halovenus,monophyletic,internal_31,28,,,,0,0,
Halovivax,monophyletic,internal_23,6,,,,0,0,
Harpocratesius,monophyletic,internal_24,3,,,,0,0,
Heimdallarchaeum,monophyletic,internal_19,2,,,,0,0,
Hermodarchaeum,monophyletic,internal_16,15,,,,0,0,
Hikarchaeum,monophyletic,internal_16,8,,,,0,0,
Hodarchaeum,monophyletic,internal_17,22,,,,0,0,
Iainarchaeum,monophyletic,internal_23,2,,,,0,0,
Ignicoccus,monophyletic,internal_21,6,,,,0,0,
Ignisphaera,monophyletic,internal_23,17,,,,0,0,
J07HR59,monophyletic,internal_26,2,,,,0,0,
J096,monophyletic,internal_19,4,,,,0,0,
JAADCV01,monophyletic,internal_24,4,,,,0,0,
JAADCY01,monophyletic,internal_22,6,,,,0,0,
JAADDK01,monophyletic,internal_28,9,,,,0,0,
JAADEF01,monophyletic,internal_12,3,,,,0,0,
JAADEL01,monophyletic,internal_19,6,,,,0,0,
JAADER01,monophyletic,internal_19,7,,,,0,0,
JAADEY01,monophyletic,internal_24,2,,,,0,0,
JAADFH01,monophyletic,internal_12,3,,,,0,0,
JAADFM01,monophyletic,internal_13,2,,,,0,0,
JAADIF01,monophyletic,internal_16,3,,,,0,0,
JAAEEP01,monophyletic,internal_27,3,,,,0,0,
JAANXH01,monophyletic,internal_19,2,,,,0,0,
JAAOXT01,monophyletic,internal_10,2,,,,0,0,
JAAOXW01,monophyletic,internal_9,2,,,,0,0,
JAAOXX01,monophyletic,internal_11,2,,,,0,0,
JAAOYC01,monophyletic,internal_24,3,,,,0,0,
JAAOZN01,monophyletic,internal_22,4,,,,0,0,
JAAOZO01,monophyletic,internal_17,3,,,,0,0,
JAAOZP01,monophyletic,internal_16,17,,,,0,0,
JAAXVZ01,monophyletic,internal_24,4,,,,0,0,
JAAZKV01,monophyletic,internal_19,22,,,,0,0,
JAAZWY01,monophyletic,internal_13,5,,,,0,0,
JABABT01,monophyletic,internal_23,3,,,,0,0,
JABFQN01,monophyletic,internal_27,3,,,,0,0,
JABFQO01,monophyletic,internal_25,2,,,,0,0,
JABHIB01,monophyletic,internal_17,4,,,,0,0,
JABHQR01,monophyletic,internal_19,2,,,,0,0,
JABHWZ01,monophyletic,internal_35,3,,,,0,0,
JABHXF01,monophyletic,internal_23,2,,,,0,0,
JABHYY01,monophyletic,internal_19,2,,,,0,0,
JABHZQ01,monophyletic,internal_20,3,,,,0,0,
JABIAG01,monophyletic,internal_22,3,,,,0,0,
JABIBT01,monophyletic,internal_20,6,,,,0,0,
JABICX01,monophyletic,internal_12,3,,,,0,0,
JABIDC01,monophyletic,internal_32,2,,,,0,0,
JABIDZ01,monophyletic,internal_19,12,,,,0,0,
JABIKK01,monophyletic,internal_19,9,,,,0,0,
JABJCP01,monophyletic,internal_23,2,,,,0,0,
JABJOX01,monophyletic,internal_23,4,,,,0,0,
JABJPM01,monophyletic,internal_20,6,,,,0,0,
JABLTI01,monophyletic,internal_18,11,,,,0,0,
JABMQF01,monophyletic,internal_25,12,,,,0,0,
JABWCK01,monophyletic,internal_14,2,,,,0,0,
JACAEI01,monophyletic,internal_30,2,,,,0,0,
JACGMN01,monophyletic,internal_19,16,,,,0,0,
JACIVX01,monophyletic,internal_28,4,,,,0,0,
JACIWB01,monophyletic,internal_19,3,,,,0,0,
JACIWG01,monophyletic,internal_18,5,,,,0,0,
JACJVV01,monophyletic,internal_25,4,,,,0,0,
JACOVP01,monophyletic,internal_22,5,,,,0,0,
JACOWB01,monophyletic,internal_19,11,,,,0,0,
JACOYC01,monophyletic,internal_13,3,,,,0,0,
